day,start_time,end_time,location,title,hosted_by,category,description,nsfw
thursday,02:00:00 PM,03:00:00 PM,Jalisco B: Main Stage,Show Pink Dog Corto,Pink Dog,Concierto,"Balada pop, trap rap con mesclas de rnb contemporáneo, con el propósito de darle un par de baladas lindas.",0
thursday,04:30:00 PM,05:30:00 PM,Jalisco B: Main Stage,Rufus Rooskram En Vivo,Rufus Rooskram,Concierto,Un concierto en el que estaré cantando todo mi repertorio disponible en Spotify además de una canción original nueva que estaré estrenando para la convención.,0
thursday,08:00:00 PM,01:00:00 AM,Jalisco B: Main Stage,Drink & Draw,Arty Chikle,Social,,1
thursday,02:00:00 PM,04:00:00 PM,Jalisco B: Artist Alley,Aprende y juega a poke/digimon TCG,Max Weredragon,Meet,"La manada Pokefur te invita a este espacio para aprender a jugar algunos TCG Pokemon, digimon, lorcana, asi como tambien conocer a mas furros con tu mismo gusto o intercambiar cartas si es tu preferencia, ven a mostrar tus dotes en el TCG y diviértete.",0
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Foro II,El pinche taller de dibujo de los furros mamados,Rom Howler,Taller,Tips y consejos para dibujar musculos y bara,1
thursday,03:45:00 PM,04:45:00 PM,Jalisco B: Foro II,Duelo de Espadas ¿Qué es el rol neutro?,"Katsu ""Las Garras del Ring""",Experiencias de vida,"El panel informara al publico acerca de lo que es el rol sexual Neutro. A pesar de que es un rol que sigue adquiriendo mas visibilidad, aún hay muchas personas que estan completamente desinformadas en cuanto a este tema y que incluso piensan que es lo mismo que el rol Versatil.",1
thursday,05:00:00 PM,06:00:00 PM,Jalisco B: Foro II,Como el dinero cambia mi videojuego,Akiro Akita Inu,Programacion,"charla enfocada en el diseño de videojuegos, desde la perspectiva de como el generar dinero puede influenciar en el diseño y las mecánicas de mi videojuego",0
thursday,06:15:00 PM,07:45:00 PM,Jalisco B: Foro II,Taller de dibujo con modelo al desnudo,Rom Howler,Taller,Taller de dibujo con modelo al desnudo en vivo,1
thursday,08:00:00 PM,09:00:00 PM,Jalisco B: Foro II,Neopets a media noche,Corvus Cantum,Arte y Cultura,"Aprende sobre Neopets y todo aquello que atrae a los más pervertidos de Neopia: Hadas Lésbicas, Furros Mamados, Transformación, Juguetes Inflables y... Moco? Este panel es una invitación a explorar el lado más cachondo de Neopia.",1
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Foro III,"Pelo, Plumas y Escamas para el alma",Psi. Kiwo Bison,Conferencia,Uso de la fursona como herramienta de bienestar mental,1
thursday,05:00:00 PM,06:00:00 PM,Jalisco B: Foro III,¿Qué o quiénes son los furros?,Dr. Caballo,Conferencia,"¿Qué sígnica ser un furro? ¿Qué es un furro? En este panel trataré de dar respuesta a estas preguntas. Entre mejor nos conozcamos como comunidad, podremos ayudar a desmentir muchos los estigmas y prejuicios negativos que la personas suelen atribuirle al furry fandom.",
thursday,06:00:00 PM,07:45:00 PM,Jalisco B: Foro III,Mapa de VR Chat Confuror,Ian the Doggo,Conferencia,"Ven a descubrir nuestro mundo en VRChat. En este panel podrás probar una versión offline del juego, hacer preguntas, escuchar cómo nació el proyecto y, claro, vivir un pedacito de la experiencia en realidad virtual junto a nosotros.",1
thursday,08:00:00 PM,09:30:00 PM,Jalisco B: Foro III,El arquetipo y el totem,Kiwo Bison,Conferencia,"Una mirada desde la psicología y la etnología a la identificación del ser humano con un tótem animal, y su relevancia en el mundo contemporáneo.",1
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Workshop Corner,Kakimashō! Aprendamos caligrafía japonesa,Yuushi,Taller,"En este taller aprenderás las bases de la caligrafía japonesa, un poco de su historia y, sobre todo, practicarás con pincel y tinta letras japonesas. Podrás aprender a escribir tu nombre y palabras básicas en japonés.",0
thursday,03:45:00 PM,05:15:00 PM,Jalisco B: Workshop Corner,Unidad de manada: Consejos para crear una comunidad desde 0,Kovua,Debate,"Este conversatorio quiere enseñar a crear actividades novedosas, dar tips y advertir de problemas a aquellos que buscan crear o revivir un grupo. Para eso hay que saber relacionarse, y este panel enseña a relacionarse con cualquier persona en pocos minutos.",1
thursday,05:30:00 PM,06:30:00 PM,Jalisco B: Workshop Corner,El origen de las ideas,Frost Draw,Conferencia,"Las ideas tienen un origen, no llegan de la nada. Como creativos, debemos estar conscientes de como desarrollarlas y encontrar nuestra voz. Enfocado en el dibujo, trataré de explicar cómo darle vida y estructurar los nuestros pensamientos para convertirlos en conceptos tangibles.",0
thursday,06:45:00 PM,08:45:00 PM,Jalisco B: Workshop Corner,Diversidad furra,IZAC,Conferencia,"Exploramos convenciones furro en todo el mundo, con datos curiosos, cultura y diversidad. Presentación con imágenes y videos, más una mini clase para aprender idiomas fácilmente. Todo público, ¡ven a descubrir y compartir!",0
thursday,09:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Una huella en la pista,Whiteli Loyd,,"Soy Whiteli Loyd y me dedico al deporte como profesional desde los 10 años. Muchos crecimos viendo a Checó Pérez correr como el orgullo de México, pero en esta plática hablaremos del desafío que es estar en este deporte, de las oportunidades que hay de incursionar y las formas en qué uno puede llegar a la grandeza de este deporte y a dejar su huella.",0
thursday,03:15:00 PM,05:15:00 PM,Jalisco B: Meeting room,Digimon meet & greet,Los Digiamigos,Social,¡Reunión para fans de Digimon! Ven y conoce a otros fans de la franquicia. Tendremos actividades y regalos para quienes nos visiten.,0
