day,start_time,end_time,location,title,hosted_by,category,description
thursday,13:00,22:00,Jalisco A: Foro I,Registro,,,
thursday,02:00:00 PM,03:00:00 PM,Jalisco B: Main Stage,Show Pink Dog Corto,,,
thursday,04:30:00 PM,05:30:00 PM,Jalisco B: Main Stage,Rufus Rooskram En Vivo,,,
thursday,06:00:00 PM,08:00:00 PM,Jalisco B: Main Stage,Preparación Drink & Draw,,,
thursday,08:00:00 PM,01:00:00 AM,Jalisco B: Main Stage,Drink & Draw,,,
thursday,02:00:00 PM,04:00:00 PM,Jalisco B: Artist Alley,Aprende y juega a poke/digimon TCG,,,
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Foro II,El pinche taller de dibujo de los furros mamados,,,
thursday,03:45:00 PM,04:45:00 PM,Jalisco B: Foro II,Duelo de Espadas ¿Qué es el rol neutro?,,,
thursday,05:00:00 PM,06:00:00 PM,Jalisco B: Foro II,Como el dinero cambia mi videojuego,,,
thursday,06:15:00 PM,07:45:00 PM,Jalisco B: Foro II,Taller de dibujo con modelo al desnudo,,,
thursday,08:00:00 PM,09:00:00 PM,Jalisco B: Foro II,Neopets a media noche,,,
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Foro III,"Pelo, Plumas y Escamas para el alma",,,
thursday,03:45:00 PM,05:15:00 PM,Jalisco B: Foro III,Mapa de VR Chat Confuror,,,
thursday,05:30:00 PM,06:30:00 PM,Jalisco B: Foro III,¿Qué o quiénes son los furros?,,,
thursday,06:45:00 PM,07:45:00 PM,Jalisco B: Foro III,Cansado de contar cabras,,,
thursday,08:00:00 PM,09:30:00 PM,Jalisco B: Foro III,El arquetipo y el totem,,,
thursday,02:00:00 PM,03:30:00 PM,Jalisco B: Workshop Corner,Kakimashō! Aprendamos caligrafía japonesa,,,
thursday,03:45:00 PM,05:15:00 PM,Jalisco B: Workshop Corner,Unidad de manada: Consejos para crear una comunidad desde 0,,,
thursday,05:30:00 PM,06:30:00 PM,Jalisco B: Workshop Corner,El origen de las ideas,,,
thursday,06:45:00 PM,08:45:00 PM,Jalisco B: Workshop Corner,Diversidad furra,,,
thursday,09:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Una huella en la pista,,,
thursday,03:15:00 PM,05:15:00 PM,Jalisco B: Meeting room,Digimon meet & greet,,,
thursday,05:30:00 PM,07:00:00 PM,Jalisco B: Meeting room,Fatfur meeting,,,
thursday,07:15:00 PM,09:45:00 PM,Jalisco B: Meeting room,Panel de inflables,,,
friday,08:00:00 AM,10:00:00 PM,Pasillo Jalisco A-B: Recepción,Registro,,,
friday,10:00:00 AM,11:30:00 AM,Jalisco B: Main Stage,Ceremonia de apertura,Confuror,,
friday,11:30:00 AM,12:30:00 PM,Jalisco B: Main Stage,Confuror 101,Confuror,,
friday,12:45:00 PM,01:45:00 PM,Jalisco B: Main Stage,Presentación del cómic oficial,,,Yuri and the quest for the happy ending
friday,02:00:00 PM,02:45:00 PM,Jalisco B: Main Stage,Cheetah Paws,,,
friday,03:15:00 PM,05:15:00 PM,Jalisco B: Main Stage,Show de talentos,"Wolfhug, Confuror",,
friday,06:00:00 PM,07:00:00 PM,Jalisco B: Main Stage,621 Trukos,,,
friday,07:00:00 PM,08:00:00 PM,Jalisco B: Main Stage,Aizack: Fur The Night – Under the Neon Moon,Aizack,,
friday,08:00:00 PM,09:00:00 PM,Jalisco B: Main Stage,UwUri x Metalpup (Siberian Scratch),"Uwuri, Metalpup",,
